repetition,distribution,model,coefficient_error_l2,SSE,SAE,MAE,RMSE
12,normal,OLS,0.20464862923338417,170.50808825114655,126.5516451375787,0.8436776342505247,1.0661709939503032
12,normal,LAD,0.2896005309205665,174.7363087370024,125.96478013245027,0.8397652008830018,1.0793093740505313
12,laplace,OLS,0.16225665583748994,144.10408559383086,108.4832201776787,0.7232214678511913,0.9801499395290868
12,laplace,LAD,0.1484902243439698,144.38539516592982,108.32934077016019,0.7221956051344013,0.9811061619958358
12,cauchy,OLS,2.4313661345821296,27493.787953080548,583.8966779347827,3.892644519565218,13.53853462111774
12,cauchy,LAD,0.3389966095640648,28398.686226318765,415.34922982863657,2.7689948655242436,13.759526693971893
12,contaminated_normal,OLS,0.5080144268153646,1192.3306001425397,201.98125558808698,1.3465417039205798,2.8193741624014588
12,contaminated_normal,LAD,0.11247636219038495,1224.9848579401594,193.02183090779175,1.286812206051945,2.8577203711351924
13,normal,OLS,0.09084115680281518,142.0345961955005,114.7921279624432,0.7652808530829547,0.9730864853495824
13,normal,LAD,0.10883988540539083,142.38898314974602,114.33857038739154,0.7622571359159436,0.9742996908882674
13,laplace,OLS,0.1546242968017937,134.51223458802926,103.38737724265556,0.6892491816177038,0.9469679142330336
13,laplace,LAD,0.17576828303568154,136.80039328977304,101.45545401656052,0.6763696934437369,0.9549882836620668
13,cauchy,OLS,5.513357675386907,286200.2581469495,1850.4470682490037,12.336313788326692,43.68067903524009
13,cauchy,LAD,0.3061054114751362,291231.5131946148,1295.6811065462985,8.63787404364199,44.06294839541984
13,contaminated_normal,OLS,0.3433600310720172,1281.454673704684,229.18569190376877,1.527904612691792,2.922846413691836
13,contaminated_normal,LAD,0.19322035006224886,1305.132417681789,222.03077015393725,1.4802051343595817,2.949725882950018
14,normal,OLS,0.1524299672888557,148.0246439834645,116.00986306922994,0.7733990871281996,0.9933936580680205
14,normal,LAD,0.07029128256746568,149.89090245722733,114.96918436786709,0.766461229119114,0.9996362753762902
14,laplace,OLS,0.06466081032992904,93.55437957598379,86.05428962628562,0.5736952641752375,0.7897441761987813
14,laplace,LAD,0.0678937081289586,94.38703528949175,84.67869651345104,0.564524643423007,0.7932508442667711
14,cauchy,OLS,2.217702315578789,13253.658554000081,617.0127012694854,4.113418008463237,9.399878919078366
14,cauchy,LAD,0.5138134156368582,13736.784704958962,509.8096526244806,3.3987310174965373,9.569668996351254
14,contaminated_normal,OLS,0.24873289535071658,1430.2112229079444,218.71917835107504,1.4581278556738335,3.0878376715839453
14,contaminated_normal,LAD,0.21457173588403097,1441.1985738591206,216.5263509388758,1.443509006259172,3.099675868924707
15,normal,OLS,0.09967682622154915,154.39083820305683,123.64412402794144,0.8242941601862763,1.0145305587743751
15,normal,LAD,0.16261094944489937,155.1239805756045,123.47595397482499,0.8231730264988333,1.0169365125237808
15,laplace,OLS,0.12929601343315617,154.00717743106327,110.31211125032041,0.7354140750021361,1.013269221977599
15,laplace,LAD,0.23533215984331207,157.57270869121433,108.95915568152495,0.7263943712101664,1.0249315706953785
15,cauchy,OLS,6.086093394694134,156583.86265287639,1476.0437498855913,9.840291665903942,32.30932400539885
15,cauchy,LAD,0.17733719254703026,162770.29690795153,951.7763163764406,6.345175442509604,32.94139208836926
15,contaminated_normal,OLS,0.5325130726757306,1690.513468378449,263.15901174537174,1.7543934116358115,3.357095439392461
15,contaminated_normal,LAD,0.2717549913355674,1704.2916298081434,256.1736959184034,1.7078246394560226,3.3707483143540924
16,normal,OLS,0.2966482631619165,141.39282016823833,112.77039397621866,0.7518026265081243,0.9708855757099233
16,normal,LAD,0.23867870322185225,143.9390682425403,111.75749049159155,0.7450499366106104,0.9795885811316922
16,laplace,OLS,0.1866469156489256,154.85028706567456,111.53059209024386,0.7435372806016257,1.0160389988108218
16,laplace,LAD,0.17855859353384768,160.39423975938078,109.79455283633521,0.7319636855755681,1.0340671795048932
16,cauchy,OLS,3.707528599061253,29600.972437580807,806.0976934111025,5.373984622740683,14.047769084468133
16,cauchy,LAD,0.14409006880473937,31678.571424388276,553.2712774836863,3.688475183224575,14.532394027227188
16,contaminated_normal,OLS,0.8225091889997719,1741.2711467010154,271.0261489185199,1.8068409927901325,3.407121117797268
16,contaminated_normal,LAD,0.2528006034665237,1836.7847045053481,242.85545402914602,1.6190363601943067,3.4993186998855923
17,normal,OLS,0.11671904021873894,140.0205234531011,115.23320136449598,0.7682213424299732,0.9661625931249911
17,normal,LAD,0.11409154241263811,140.98471387896902,114.75785261480272,0.7650523507653514,0.9694834152921131
17,laplace,OLS,0.10414017285059053,120.87869320167822,99.52101086413849,0.6634734057609233,0.8976959143707043
17,laplace,LAD,0.06319760307787624,122.68159755952956,97.40588305505733,0.6493725537003822,0.9043656987433404
17,cauchy,OLS,3.8399426448107867,52059.77614916766,898.7196675022819,5.991464450015213,18.62968529867814
17,cauchy,LAD,0.23585845482238005,54130.883814126624,653.8684030459115,4.359122686972743,18.99664598714321
17,contaminated_normal,OLS,0.5971152454086706,2679.780409594188,271.72856978288104,1.8115237985525403,4.22672482314947
17,contaminated_normal,LAD,0.11816201232477512,2729.250863199916,260.51283271963075,1.7367522181308717,4.265560426798112
18,normal,OLS,0.17399194513424307,123.98933587604111,108.79888952358964,0.7253259301572642,0.909173015716448
18,normal,LAD,0.22896413982095803,125.213419203358,108.1267568046708,0.720845045364472,0.9136498935710476
18,laplace,OLS,0.13980746191431,120.1474092588601,94.86402675354273,0.6324268450236182,0.8949763842651942
18,laplace,LAD,0.19718111840566185,120.96561854467163,94.52482258275856,0.6301654838850571,0.8980186284061582
18,cauchy,OLS,47.496799426087634,14884478.423917701,9813.241455680574,65.42160970453716,315.0077080952962
18,cauchy,LAD,0.39466786185145136,15225220.593687162,4604.609083593384,30.697393890622557,318.5929544490604
18,contaminated_normal,OLS,0.8728479970483987,1575.0693239176314,238.4359679169061,1.5895731194460405,3.2404416611707236
18,contaminated_normal,LAD,0.4280730091884658,1609.4950356749614,224.78047015930287,1.4985364677286859,3.2756628191100106
19,normal,OLS,0.14219865615758218,147.25643751967473,118.55649985071372,0.7903766656714248,0.9908125874576373
19,normal,LAD,0.18284939519133436,148.44476022337423,117.78981458822295,0.785265430588153,0.994802359678793
19,laplace,OLS,0.19321965890961704,160.96313462748205,110.03366551487848,0.7335577700991899,1.0358993986788552
19,laplace,LAD,0.1069738473527501,162.84208383534857,109.14821177491618,0.7276547451661078,1.0419279688326142
19,cauchy,OLS,14.709741943876953,950370.627571926,3001.420049403152,20.009466996021015,79.59776494232008
19,cauchy,LAD,0.16545500848878655,989697.0437691818,1458.7970830616669,9.725313887077778,81.22795265051649
19,contaminated_normal,OLS,0.4760606443148356,1991.371372535065,255.36512895772233,1.7024341930514821,3.643598379381812
19,contaminated_normal,LAD,0.15418270317915364,2045.6530732083304,238.60388762451404,1.590692584163427,3.6929239302647714
20,normal,OLS,0.12413593370998063,140.55270020514138,114.08484129499865,0.7605656086333243,0.967996901527897
20,normal,LAD,0.12540207204714093,141.2192951507222,113.51870798081619,0.7567913865387745,0.9702896308172531
20,laplace,OLS,0.28938223319939343,141.9337448809096,109.43112958592178,0.7295408639061453,0.972740955173951
20,laplace,LAD,0.16843614151196706,144.94298464545744,108.27336417436686,0.7218224278291124,0.982998761089275
20,cauchy,OLS,16.916810632640036,3739531.0423738244,4390.203285278683,29.26802190185789,157.89302375076247
20,cauchy,LAD,0.23182210194028427,3781093.204279404,2539.666907757573,16.93111271838382,158.7680321366029
20,contaminated_normal,OLS,0.31141502769303275,1443.4950210514035,217.86544568796182,1.4524363045864122,3.1021444422113373
20,contaminated_normal,LAD,0.23134750165236065,1445.1924417579576,216.24635422498443,1.441642361499896,3.1039678281815974
21,normal,OLS,0.11094257428404887,138.62766805651148,112.24799168440859,0.7483199445627239,0.9613451272618364
21,normal,LAD,0.16242550449562373,141.6284861669574,110.67800023951276,0.737853334930085,0.9716943489491517
21,laplace,OLS,0.18566320282057985,122.71053864867548,98.75676107352172,0.6583784071568114,0.9044723642311226
21,laplace,LAD,0.13457175587180573,124.51182298737689,97.22796205700391,0.6481864137133594,0.9110866149361684
21,cauchy,OLS,2.1227276357686735,14458.443369120238,623.5126066837283,4.156750711224856,9.817821675952441
21,cauchy,LAD,0.20315802177246087,15186.609867487094,485.1765238555818,3.234510159037212,10.062011020827164
21,contaminated_normal,OLS,0.6208812482076046,1695.3176007582163,240.21146911096713,1.6014097940731142,3.3618621831342383
21,contaminated_normal,LAD,0.18750594207052473,1733.4233641545356,228.8603640972294,1.525735760648196,3.39943462373234
22,normal,OLS,0.0925738568347388,164.18166012391035,120.38480852473384,0.8025653901648923,1.0462047604680782
22,normal,LAD,0.10820580889324533,164.41044810184735,120.163129259712,0.80108752839808,1.0469334525232803
22,laplace,OLS,0.2153669969478615,136.88898175006574,105.05009715453863,0.7003339810302576,0.955297446697679
22,laplace,LAD,0.16567408914188908,138.47872788071294,104.15242070917702,0.6943494713945135,0.9608285586954383
22,cauchy,OLS,1.0307705224567614,5844.455356578075,453.8277087780191,3.0255180585201273,6.24203778509234
22,cauchy,LAD,0.23460521199712758,5993.70472498898,414.6232058318975,2.7641547055459834,6.3212365483287005
22,contaminated_normal,OLS,0.7946087459336432,2514.1426063815447,284.6140894605318,1.8974272630702118,4.094014009405719
22,contaminated_normal,LAD,0.3876848961344462,2552.0981898658324,271.4030051163285,1.8093533674421898,4.124801562795341
23,normal,OLS,0.09463048198428135,175.57185689130378,123.68625364085773,0.8245750242723848,1.0818867990423144
23,normal,LAD,0.18832390398575177,178.44507609105506,122.15261497445223,0.8143507664963482,1.0907033696688728
23,laplace,OLS,0.11263802163174988,132.28926645904008,100.47105064704115,0.6698070043136077,0.9391104530672987
23,laplace,LAD,0.11428696474999304,134.37723455719149,99.24161208876737,0.6616107472584492,0.946492593938947
23,cauchy,OLS,6.66210218880125,123821.76367624234,1718.8027724253652,11.458685149502434,28.731140327322233
23,cauchy,LAD,0.3576259717018532,130557.05790457313,1235.299789716445,8.235331931442968,29.50220984995001
23,contaminated_normal,OLS,0.2865309983473269,902.2465464751267,187.7094050906549,1.2513960339376995,2.4525449998931403
23,contaminated_normal,LAD,0.18265950252265883,910.2561977852519,184.11169250676596,1.2274112833784399,2.4634071226457226
24,normal,OLS,0.09931748292853121,155.4659948708241,120.66974845346836,0.8044649896897891,1.0180569560714636
