Dataset,Model,ContaminationRate,ContaminationPercent,Repetition,Rows,ContaminatedRows,NoiseSD,CleanSAE,CleanSSE,CleanMAE,CleanRMSE,CleanMedianAbsoluteError,CleanR2,ContaminatedTrainingMAE,ContaminatedTrainingRMSE,PredictionRMSEFromCleanFit,StandardizedSlopeL2Shift
Boston Housing,LAD,0.1,10,10,357,36,69,834.2087724,3887.132136,2.33671925,3.29974625,1.578108559,0.7675012535,7.289372339,21.14317061,0.7762765154,0.2592692464
Boston Housing,OLS,0.1,10,11,357,36,69,1887.102636,15391.08379,5.28600178,6.565994177,4.564926089,0.07942216446,10.16339897,21.61144533,5.800583999,6.392590842
Boston Housing,LAD,0.1,10,11,357,36,69,828.6243931,3639.130138,2.321076731,3.192748321,1.686473852,0.7823348511,7.945103539,22.32006257,0.4995375864,0.2902624954
Boston Housing,OLS,0.1,10,12,357,36,69,1777.157311,14120.56724,4.978031683,6.289150152,4.12462939,0.1554148233,11.0598773,25.40122436,5.485244281,3.043509281
Boston Housing,LAD,0.1,10,12,357,36,69,830.7964514,3843.000786,2.327160928,3.280961457,1.677788455,0.770140856,8.992374632,25.90557578,0.7609766332,0.3461225021
Boston Housing,OLS,0.1,10,13,357,36,69,1610.367771,11572.46495,4.510834094,5.693493497,3.849890137,0.3078229657,9.44324749,21.73617546,4.790653755,2.739108245
Boston Housing,LAD,0.1,10,13,357,36,69,826.6981907,3447.803243,2.315681206,3.107685982,1.717695675,0.793778574,7.714594935,22.27449744,0.3246228843,0.1319526329
Boston Housing,OLS,0.1,10,14,357,36,69,1440.401923,10185.63193,4.034739281,5.341458778,3.098352684,0.3907727928,8.137985025,19.94432065,4.366426121,3.139117201
Boston Housing,LAD,0.1,10,14,357,36,69,833.1851831,3602.290121,2.333852054,3.176546634,1.692116264,0.7845383413,6.992025637,20.33679453,0.5431586972,0.4002687596
Boston Housing,OLS,0.1,10,15,357,36,69,1218.833872,6664.664083,3.414100481,4.320709067,2.956585397,0.6013703701,8.506592233,22.97620528,3.033648305,1.987287913
Boston Housing,LAD,0.1,10,15,357,36,69,826.1508921,3766.423441,2.314148157,3.248108021,1.655584532,0.7747211317,7.553983403,23.17617196,0.5655814029,0.3342133901
Boston Housing,OLS,0.1,10,16,357,36,69,1512.791333,9950.002104,4.237510736,5.279313815,3.684973075,0.4048663808,10.04113342,24.63932009,4.290180596,4.3764739
Boston Housing,LAD,0.1,10,16,357,36,69,827.8876644,3639.685872,2.319013066,3.192992095,1.634464266,0.7823016113,8.572099944,25.00487782,0.448119545,0.2401500328
Boston Housing,OLS,0.1,10,17,357,36,69,1498.2378,10455.58145,4.196744537,5.411778173,3.424502436,0.3746264611,10.23162899,26.0998937,4.4521723,4.894004022
Boston Housing,LAD,0.1,10,17,357,36,69,825.3903829,3632.195019,2.312017879,3.189704648,1.735805796,0.7827496573,8.716390191,26.45075723,0.5489876521,0.4050210506
Boston Housing,OLS,0.1,10,18,357,36,69,1451.92848,9618.656393,4.067026555,5.190666152,3.386719875,0.4246849668,10.08318736,26.94830359,4.180611236,1.971961626
Boston Housing,LAD,0.1,10,18,357,36,69,824.4864445,3461.80584,2.309485839,3.113990226,1.728130329,0.792941045,8.727978293,27.30200117,0.2368066005,0.2112969732
Boston Housing,OLS,0.1,10,19,357,36,69,1322.950162,7933.440449,3.705742751,4.714077032,3.209950216,0.5254817961,9.203271433,23.15439103,3.571696721,3.641497746
Boston Housing,LAD,0.1,10,19,357,36,69,825.6038199,3578.671989,2.312615742,3.16611612,1.660462863,0.7859509987,7.990737511,23.41952678,0.2919721407,0.1833726443
Boston Housing,OLS,0.1,10,20,357,36,69,1526.240798,10341.01838,4.275184307,5.382047755,3.717301783,0.3814787546,9.440820031,22.15259394,4.4159861,2.074377152
Boston Housing,LAD,0.1,10,20,357,36,69,831.0572244,3551.453127,2.327891385,3.154052627,1.678211726,0.7875790246,7.899381923,22.58914952,0.4657529982,0.3098719284
Boston Housing,OLS,0.1,10,21,357,36,69,1457.596491,10245.22998,4.082903337,5.357062926,3.153654144,0.3872080896,9.500259964,22.63501097,4.385500929,3.530878662
Boston Housing,LAD,0.1,10,21,357,36,69,832.3883638,3731.534481,2.331620067,3.233029158,1.77477835,0.7768079245,8.082897223,23.01170975,0.7042650413,0.5013151432
Boston Housing,OLS,0.1,10,22,357,36,69,1295.742863,7342.022792,3.629531829,4.534963084,3.259622976,0.5608559124,8.394894048,20.64598015,3.331724084,3.52746113
