Dataset,ContaminationRate,ContaminationPercent,Repetition,Rows,ContaminatedRows,NoiseSD,OLS_CleanMAE,LAD_CleanMAE,LADMinusOLS_CleanMAE,LADReductionPercent_CleanMAE,LADWins_CleanMAE,OLS_CleanRMSE,LAD_CleanRMSE,LADMinusOLS_CleanRMSE,LADReductionPercent_CleanRMSE,LADWins_CleanRMSE,OLS_PredictionRMSEFromCleanFit,LAD_PredictionRMSEFromCleanFit,LADMinusOLS_PredictionRMSEFromCleanFit,LADReductionPercent_PredictionRMSEFromCleanFit,LADWins_PredictionRMSEFromCleanFit,OLS_StandardizedSlopeL2Shift,LAD_StandardizedSlopeL2Shift,LADMinusOLS_StandardizedSlopeL2Shift,LADReductionPercent_StandardizedSlopeL2Shift,LADWins_StandardizedSlopeL2Shift
Boston Housing,0.05,5,26,357,18,69,3.654439441,2.312234171,-1.34220527,36.72807531,True,4.79902822,3.138747615,-1.660280605,34.59618341,True,3.68309205,0.3152907203,-3.36780133,91.43951017,True,4.021343799,0.4560120753,-3.565331724,88.66020668,True
Boston Housing,0.05,5,27,357,18,69,3.071642327,2.307743292,-0.763899035,24.86940059,True,3.961242616,3.131232067,-0.830010549,20.95328738,True,2.49518301,0.2635703643,-2.231612646,89.43683236,True,2.276780168,0.1152957001,-2.161484468,94.93601966,True
Boston Housing,0.05,5,28,357,18,69,3.147731399,2.303993607,-0.843737792,26.80463118,True,3.990412643,3.125682956,-0.864729687,21.67018212,True,2.541237544,0.1664546657,-2.374782878,93.44985808,True,1.971534643,0.0762763351,-1.895258308,96.1311187,True
Boston Housing,0.05,5,29,357,18,69,3.059232393,2.303725693,-0.7555067,24.69595647,True,3.926297544,3.131415079,-0.794882465,20.24508984,True,2.439325234,0.107107212,-2.332218022,95.6091459,True,2.028364627,0.07650055289,-1.951864074,96.2284615,True
Boston Housing,0.05,5,30,357,18,69,3.188736555,2.310285912,-0.878450643,27.54854871,True,4.089653163,3.144265102,-0.945388061,23.11658283,True,2.694393845,0.4469652457,-2.247428599,83.41128761,True,3.53115818,0.2641663357,-3.266991844,92.51898889,True
Boston Housing,0.1,10,1,357,36,69,5.499516161,2.3419038,-3.157612361,57.41618478,True,7.120403857,3.257112205,-3.863291652,54.2566367,True,6.421420893,0.732929964,-5.688490929,88.58617156,True,5.487341057,0.2718756045,-5.215465453,95.04540356,True
Boston Housing,0.1,10,2,357,36,69,3.886198506,2.326083137,-1.560115369,40.14502519,True,5.063592901,3.167669181,-1.89592372,37.44226199,True,4.021749403,0.5719738491,-3.449775554,85.77798386,True,2.269112427,0.4091243071,-1.85998812,81.96985296,True
Boston Housing,0.1,10,3,357,36,69,3.701542708,2.310912764,-1.390629944,37.56892879,True,4.883723489,3.166371842,-1.717351647,35.16480101,True,3.792789252,0.360380397,-3.432408855,90.4982752,True,2.301505435,0.3285843031,-1.972921132,85.72307073,True
Boston Housing,0.1,10,4,357,36,69,5.375865876,2.30645763,-3.069408246,57.0960719,True,6.337346955,3.15371314,-3.183633815,50.23606625,True,5.540438757,0.3276994556,-5.212739301,94.0853158,True,2.146056378,0.1330224136,-2.013033964,93.80154152,True
Boston Housing,0.1,10,5,357,36,69,3.458297594,2.323803723,-1.134493871,32.80498107,True,4.507185316,3.197007838,-1.310177478,29.0686401,True,3.293814608,0.5396239247,-2.754190683,83.6170523,True,1.931448186,0.1560928352,-1.775355351,91.91835244,True
Boston Housing,0.1,10,6,357,36,69,4.306424292,2.32962947,-1.976794822,45.90339195,True,5.557983197,3.166005438,-2.391977759,43.03679364,True,4.628787359,0.5203371156,-4.108450243,88.75867316,True,5.441118082,0.3771898937,-5.063928188,93.06778702,True
Boston Housing,0.1,10,7,357,36,69,3.425458002,2.307175255,-1.118282747,32.6462256,True,4.399774747,3.132297638,-1.267477109,28.80777271,True,3.145236561,0.2465902149,-2.898646346,92.15988336,True,1.556913406,0.1336752734,-1.423238133,91.41408425,True
Boston Housing,0.1,10,8,357,36,69,4.3636445,2.313558558,-2.050085942,46.98104857,True,5.261041259,3.175959292,-2.085081967,39.63249601,True,4.267675049,0.3015942594,-3.96608079,92.93305474,True,3.221633172,0.3245969199,-2.897036252,89.92446059,True
Boston Housing,0.1,10,9,357,36,69,3.404877393,2.328633792,-1.076243601,31.60887976,True,4.276068133,3.150405747,-1.125662386,26.32470651,True,2.969722862,0.6243676173,-2.345355245,78.97555946,True,2.729687122,0.2806213293,-2.449065793,89.71965223,True
Boston Housing,0.1,10,10,357,36,69,3.681903166,2.33671925,-1.345183916,36.53501614,True,4.917601249,3.29974625,-1.617854999,32.89927176,True,3.836312975,0.7762765154,-3.06003646,79.76503689,True,1.677507411,0.2592692464,-1.418238165,84.5443755,True
Boston Housing,0.1,10,11,357,36,69,5.28600178,2.321076731,-2.964925049,56.09012582,True,6.565994177,3.192748321,-3.373245856,51.37448747,True,5.800583999,0.4995375864,-5.301046413,91.38815012,True,6.392590842,0.2902624954,-6.102328347,95.45939193,True
Boston Housing,0.1,10,12,357,36,69,4.978031683,2.327160928,-2.650870755,53.25138376,True,6.289150152,3.280961457,-3.008188695,47.83140205,True,5.485244281,0.7609766332,-4.724267648,86.1268415,True,3.043509281,0.3461225021,-2.697386779,88.62751941,True
Boston Housing,0.1,10,13,357,36,69,4.510834094,2.315681206,-2.195152888,48.66401296,True,5.693493497,3.107685982,-2.585807515,45.41688712,True,4.790653755,0.3246228843,-4.466030871,93.22382913,True,2.739108245,0.1319526329,-2.607155612,95.18264263,True
Boston Housing,0.1,10,14,357,36,69,4.034739281,2.333852054,-1.700887227,42.15606285,True,5.341458778,3.176546634,-2.164912144,40.53035386,True,4.366426121,0.5431586972,-3.823267424,87.56056596,True,3.139117201,0.4002687596,-2.738848441,87.24900238,True
Boston Housing,0.1,10,15,357,36,69,3.414100481,2.314148157,-1.099952324,32.21792475,True,4.320709067,3.248108021,-1.072601046,24.8246533,True,3.033648305,0.5655814029,-2.468066902,81.35639514,True,1.987287913,0.3342133901,-1.653074523,83.18243734,True
Boston Housing,0.1,10,16,357,36,69,4.237510736,2.319013066,-1.91849767,45.27416659,True,5.279313815,3.192992095,-2.08632172,39.51880477,True,4.290180596,0.448119545,-3.842061051,89.55476267,True,4.3764739,0.2401500328,-4.136323867,94.51270502,True
Boston Housing,0.1,10,17,357,36,69,4.196744537,2.312017879,-1.884726658,44.90925386,True,5.411778173,3.189704648,-2.222073525,41.05995209,True,4.4521723,0.5489876521,-3.903184648,87.66921819,True,4.894004022,0.4050210506,-4.488982971,91.72413736,True
Boston Housing,0.1,10,18,357,36,69,4.067026555,2.309485839,-1.757540716,43.21438998,True,5.190666152,3.113990226,-2.076675926,40.00788849,True,4.180611236,0.2368066005,-3.943804635,94.33559862,True,1.971961626,0.2112969732,-1.760664653,89.28493484,True
Boston Housing,0.1,10,19,357,36,69,3.705742751,2.312615742,-1.393127009,37.59373229,True,4.714077032,3.16611612,-1.547960912,32.83698806,True,3.571696721,0.2919721407,-3.27972458,91.82539383,True,3.641497746,0.1833726443,-3.458125102,94.964362,True
